Borough,Condition of building,Value,Toilet breakdowns,Monthly contract rent,Presence of mice or rats,Total Household Income Recode,Year Identifier
1,2,300000,2,99999,2,95000,2017
1,2,9999999,2,1075,2,21372,2017
1,2,9999999,2,1275,2,33000,2017
1,2,9999999,2,944,2,39655,2017
1,2,35000,2,99999,1,45952,2017
1,2,9999999,1,945,1,16239,2017
1,2,9999999,2,600,2,24000,2017
1,2,9999999,2,1500,2,60000,2017
1,2,9999999,8,600,2,12000,2017
1,2,9999999,2,1600,1,10050,2017
1,2,9999999,2,800,2,25000,2017
1,1,9999999,2,1415,1,659,2017
1,3,9999999,1,99999,2,20756,2017
1,2,9999999,2,1300,2,43000,2017
1,2,9999999,2,1100,1,40000,2017
1,2,9999999,2,2530,1,81200,2017
1,2,9999999,2,1600,2,49400,2017
1,2,9999999,2,400,1,30360,2017
1,2,9999999,2,1003,8,35080,2017
1,2,9999999,2,1800,2,87000,2017
1,2,9999999,2,1180,2,9500,2017
1,2,9999999,1,1300,2,24100,2017
1,2,9999999,2,1600,2,25760,2017
1,2,9999999,2,1625,8,36400,2017
1,2,35000,2,99999,2,35700,2017
1,2,9999999,2,900,1,31812,2017
1,2,9999999,2,1000,2,19332,2017
1,2,9999999,1,1130,1,16400,2017
1,2,9999999,2,451,2,52392,2017
1,2,9999999,2,571,1,56080,2017
1,2,9999999,2,1052,2,149000,2017
1,2,9999999,2,1200,2,22160,2017
1,2,9999999,2,1200,2,19248,2017
1,2,9999999,2,1234,1,8520,2017
1,2,9999999,2,1200,8,30040,2017
1,2,9999999,2,1180,2,9600,2017
1,2,9999999,2,1182,1,1200,2017
1,2,9999999,2,256,1,10632,2017
1,2,9999999,1,442,2,23340,2017
1,2,9999999,2,250,1,18792,2017
1,2,9999999,2,500,1,14064,2017
1,2,9999999,2,900,2,50000,2017
1,2,9999999,2,500,2,29232,2017
1,2,9999999,2,1014,2,9864,2017
1,2,9999999,1,1234,2,1250,2017
1,2,9999999,2,1290,2,9864,2017
1,2,9999999,2,762,1,19896,2017
1,2,9999999,2,715,2,42152,2017
1,2,9999999,2,800,2,32000,2017
1,2,9999999,2,635,2,23000,2017
1,2,9999999,2,715,2,30000,2017
1,2,9999999,2,715,8,81500,2017
1,2,9999999,2,1300,1,36600,2017
1,2,9999999,2,1610,2,52000,2017
1,2,60000,2,99999,2,16800,2017
1,2,60000,2,99999,1,884,2017
1,2,40000,1,99999,2,1943,2017
1,2,40000,1,99999,2,1942,2017
1,2,9999999,2,1217,2,9000,2017
1,2,9999999,2,1300,1,29400,2017
1,2,9999999,2,1300,1,500,2017
1,2,9999999,2,2000,2,3840,2017
1,2,9999999,2,99999,2,13440,2017
1,2,9999999,2,160,2,12120,2017
1,2,9999999,2,1200,2,66000,2017
1,2,9999999,2,1200,2,72000,2017
1,2,500000,2,99999,1,6000,2017
1,2,9999999,2,680,2,16000,2017
1,2,9999999,2,1200,2,80000,2017
1,2,9999999,2,1600,1,19000,2017
1,2,9999999,1,2240,1,19440,2017
1,2,9999999,2,1500,1,9600,2017
