,num_units,num_stories,num_rooms,num_bedrooms,monthly_rent,outofpocket_rent,year,hhinc,num_under6,num_under18
5,3,1,4,3,1200,1200,2011,18000,1,3
6,3,1,4,3,900,41,2011,9400,3,3
8,3,1,2,2,1200,1200,2011,31200,1,3
15,5,2,4,3,1300,1300,2011,43000,1,3
17,4,2,3,3,1500,1500,2011,95000,1,2
19,3,1,4,3,1400,224,2011,7896,1,1
20,6,3,5,4,500,500,2011,4152,1,1
21,5,2,5,4,900,900,2011,18000,1,1
23,5,2,4,3,1225,1225,2011,26000,1,1
24,5,2,5,4,1600,1600,2011,36000,2,2
26,5,2,5,4,1550,171,2011,14000,1,5
27,11,5,4,3,500,500,2011,2500,1,1
28,11,5,3,2,1100,80,2011,12600,2,2
29,8,3,5,4,971,468,2011,23316,1,2
30,8,3,3,2,1200,1200,2011,52780,1,1
31,11,3,5,4,1500,1500,2011,80160,1,1
32,8,3,5,4,1600,345,2011,13114,3,4
33,3,2,4,3,1444,217,2011,16000,2,2
34,3,1,6,4,2700,2700,2011,80120,1,1
